FileSize,FileName,FileDir
86 MBs,Process Models explained through a Case Study - Part 1.mp4,\Lectures\4. Process Models explained through a Case Study
63 MBs,Process Models explained through a Case Study - Part 2.mp4,\Lectures\4. Process Models explained through a Case Study
49 MBs,"Risk Vs. Value, Organizational Structure Part - 2.mp4","\Lectures\3. Risk Vs. Value, Organizational Structure"
46 MBs,Intro to SPM Part 1.mp4,\Lectures\1. Introduction to SPM
45 MBs,PM in IT Context.mp4,\Lectures\2. PM in IT Context
36 MBs,Intro to SPM Part 3.mp4,\Lectures\1. Introduction to SPM
36 MBs,Intro to SPM Part 2.mp4,\Lectures\1. Introduction to SPM
32 MBs,"Risk Vs. Value, Organizational Structure  Part - 1.mp4","\Lectures\3. Risk Vs. Value, Organizational Structure"
21 MBs,Process Models explained through a Case Study - Part 3.mp4,\Lectures\4. Process Models explained through a Case Study
5 MBs,Chapter 1.ppt,\Lectures\1. Introduction to SPM
5 MBs,Chapter 3.ppt,\Lectures\4. Process Models explained through a Case Study
3 MBs,Chapter 2.ppt,\Lectures\2. PM in IT Context
3 MBs,Chapter 2.ppt,"\Lectures\3. Risk Vs. Value, Organizational Structure"
514 KBs,Muhammad_Bilal_7B-Activity-2-SPM-Assignment.docx,\Assignments
460 KBs,Arsalan-179-SPM-Assignment-2.docx,\Assignments
264 KBs,SPM-TUTORIAL.docx,\Assignments
183 KBs,WhatsApp Image 2020-12-15 at 1.31.02 AM.jpeg,.\
170 KBs,WhatsApp Image 2020-12-15 at 1.31.03 AM.jpeg,.\
165 KBs,WhatsApp Image 2020-12-15 at 1.31.04 AM.jpeg,.\
136 KBs,Activity 1.docx,\Assignments
128 KBs,WhatsApp Image 2020-12-15 at 1.31.05 AM.jpeg,.\
41 KBs,Pert.jpeg,.\
34 KBs,Three Triards.jpeg,.\
2 KBs,Scope Management.txt,.\
1 KBs,Time Management.txt,.\
